"gene","removed","reason","m_testable","n_pass_delta","sign","median_d","min_abs_d","cm_ratio","cm_dominant","chr","is_XY","class","in_E2F_TARGETS","in_hallmark_E2F","in_shared_KO_up","is_E2f7_E2f8","d_Cardiomyocyte_P0","d_Cardiomyocyte_P7","d_Endothelial_P0","d_Endothelial_P7","d_Fibroblast_P0","d_Fibroblast_P7","d_Immune_Myeloid_P0","d_Immune_Myeloid_P7","d_Mural_Pericyte_P0","d_Mural_Pericyte_P7","d_RBC_P0","NOTE"
"Acp1",FALSE,"candidate_not_removed",11,6,"+",0.105302165148581,0.0534311532655914,0.57,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0671,0.0534,0.0619,0.1323,0.1056,0.1053,0.0987,0.1117,0.0969,0.1775,0.154,"descriptive_n1_sex_confounded_depth_matched"
"Tmed2",FALSE,"candidate_not_removed",11,6,"+",0.103822469061665,0.00164535012381495,0.49,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1038,0.0016,0.0819,0.166,0.1182,0.107,0.0379,0.0288,0.1691,0.1356,0.0662,"descriptive_n1_sex_confounded_depth_matched"
"Mrpl14",FALSE,"candidate_not_removed",11,6,"-",-0.102950384777476,0.0113133108128254,1.79,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1203,-0.1831,-0.0845,-0.128,-0.0714,-0.103,-0.0612,-0.2183,-0.0562,-0.1976,-0.0113,"descriptive_n1_sex_confounded_depth_matched"
"Rchy1",FALSE,"candidate_not_removed",11,6,"+",0.101658207705735,0.00971065464572146,0.75,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1436,0.0097,0.0805,0.0647,0.104,0.0574,0.1175,0.1017,0.0555,0.1177,0.1505,"descriptive_n1_sex_confounded_depth_matched"
"Hnrnpa3",FALSE,"candidate_not_removed",11,5,"+",0.098333585127903,0.0137279883188701,0.67,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0644,0.0713,0.0137,0.1375,0.1007,0.1294,0.0808,0.0155,0.1432,0.0983,0.1174,"descriptive_n1_sex_confounded_depth_matched"
"Kdm5c",FALSE,"candidate_not_removed",11,5,"-",-0.097422063708782,0.0505085132947679,0.71,FALSE,"X",TRUE,"other",FALSE,FALSE,FALSE,FALSE,-0.0505,-0.0974,-0.0872,-0.1428,-0.0863,-0.1038,-0.1718,-0.0948,-0.1083,-0.1163,-0.0647,"descriptive_n1_sex_confounded_depth_matched"
"Wdr26",FALSE,"candidate_not_removed",11,5,"-",-0.0946822920179073,0.0155993093532234,0.97,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1023,-0.082,-0.1012,-0.0478,-0.0907,-0.0947,-0.0913,-0.2075,-0.1099,-0.0156,-0.141,"descriptive_n1_sex_confounded_depth_matched"
"Hivep2",FALSE,"candidate_not_removed",11,5,"-",-0.0944181813243288,0.0232733891277137,0.34,FALSE,"10",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0233,-0.0454,-0.0695,-0.0548,-0.1313,-0.0944,-0.5617,-0.1024,-0.1452,-0.1163,-0.0598,"descriptive_n1_sex_confounded_depth_matched"
"Tmem63c",FALSE,"candidate_not_removed",11,5,"-",-0.0943716051567631,0.0215312621264303,0.63,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0944,-0.053,-0.117,-0.0838,-0.1637,-0.0537,-0.1676,-0.2521,-0.2234,-0.0347,-0.0215,"descriptive_n1_sex_confounded_depth_matched"
"Gm50371",FALSE,"candidate_not_removed",11,5,"+",0.0926614122283566,0.0228204922242942,0.88,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.1125,0.0504,0.0606,0.1071,0.0288,0.048,0.159,0.0927,0.1181,0.0228,0.1685,"descriptive_n1_sex_confounded_depth_matched"
"Ier2",FALSE,"candidate_not_removed",11,5,"+",0.092652051074315,0.00883558695472583,0.31,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0088,0.0927,0.0671,0.3687,0.0304,0.2896,0.0734,0.1951,0.084,0.4487,0.1645,"descriptive_n1_sex_confounded_depth_matched"
"Luc7l3",FALSE,"candidate_not_removed",11,5,"-",-0.0910252952835637,0.00568440660892056,1.6,FALSE,"11",FALSE,"other",FALSE,TRUE,FALSE,FALSE,-0.091,-0.1513,-0.03,-0.1689,-0.0466,-0.1408,-0.0757,-0.2458,-0.0057,-0.1283,-0.0552,"descriptive_n1_sex_confounded_depth_matched"
"Mgst1",FALSE,"candidate_not_removed",11,4,"+",0.0897381441152913,0.0160406614807142,1.67,FALSE,"6",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1076,0.0897,0.134,0.0946,0.0423,0.0446,0.2132,0.059,0.0527,0.016,0.1377,"descriptive_n1_sex_confounded_depth_matched"
"Nlk",FALSE,"candidate_not_removed",11,5,"-",-0.0882519715544185,0.0272300397947025,1.55,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1266,-0.12,-0.0701,-0.1661,-0.0793,-0.0272,-0.0428,-0.0883,-0.1107,-0.079,-0.1094,"descriptive_n1_sex_confounded_depth_matched"
"Bbip1",FALSE,"candidate_not_removed",11,5,"-",-0.087770895488113,0.000699387082863934,1.24,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0831,-0.1347,-7e-04,-0.1309,-0.0597,-0.0797,-0.1278,-0.1081,-0.0367,-0.0878,-0.1232,"descriptive_n1_sex_confounded_depth_matched"
"Rrm2",FALSE,"candidate_not_removed",11,5,"+",0.0874717771652639,0.00284662476192282,2.73,FALSE,"12",FALSE,"other",TRUE,TRUE,FALSE,FALSE,0.1337,0.2003,0.0028,0.1483,0.032,0.2276,0.0452,0.0566,0.0875,0.0612,0.3361,"descriptive_n1_sex_confounded_depth_matched"
"Gm9843",FALSE,"candidate_not_removed",11,4,"-",-0.0874701002501131,0.0202908110779602,0.69,FALSE,"16",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0998,-0.0203,-0.1554,-0.0535,-0.1579,-0.0227,-0.1912,-0.0671,-0.1689,-0.0679,-0.0875,"descriptive_n1_sex_confounded_depth_matched"
"Gm13166",FALSE,"candidate_not_removed",11,4,"-",-0.0871880640867773,0.0160580607841823,0.36,FALSE,"4",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0504,-0.0161,-0.0931,-0.0343,-0.1223,-0.0836,-0.3169,-0.1365,-0.1118,-0.0872,-0.0771,"descriptive_n1_sex_confounded_depth_matched"
"Nudt21",FALSE,"candidate_not_removed",11,5,"+",0.0859043353834698,0.0341776804353747,0.85,FALSE,"8",FALSE,"other",FALSE,TRUE,FALSE,FALSE,0.1119,0.0342,0.0451,0.0569,0.1414,0.0859,0.0463,0.0379,0.1234,0.1953,0.1789,"descriptive_n1_sex_confounded_depth_matched"
"Kars",FALSE,"candidate_not_removed",11,3,"+",0.0853861180895024,0.0135644087903447,0.97,FALSE,NA,FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1495,0.016,0.0882,0.028,0.107,0.0758,0.0918,0.0136,0.0343,0.0854,0.1567,"descriptive_n1_sex_confounded_depth_matched"
"Selenos",FALSE,"candidate_not_removed",11,3,"+",0.0850755535108393,0.0334389809734824,0.76,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.073,0.0592,0.0334,0.096,0.1448,0.0372,0.1081,0.0433,0.1674,0.0851,0.0865,"descriptive_n1_sex_confounded_depth_matched"
"Micos13",FALSE,"candidate_not_removed",11,4,"-",-0.0850329197247219,0.0166699145959099,2.72,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.2548,-0.1896,-0.085,-0.0709,-0.1107,-0.0167,-0.0918,-0.1876,-0.0817,-0.0568,-0.0795,"descriptive_n1_sex_confounded_depth_matched"
"Nppb",FALSE,"candidate_not_removed",11,5,"+",0.0849114316966396,0.0679076000518569,2.11,FALSE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2906,0.0679,0.1223,0.0814,0.0771,0.0849,0.1035,0.0715,0.1091,0.0715,0.659,"descriptive_n1_sex_confounded_depth_matched"
"Nppa",FALSE,"candidate_not_removed",11,4,"+",0.0848535279503216,0.0165084494899813,1.8,FALSE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2894,0.0165,0.0849,0.0758,0.0503,0.1057,0.0287,0.0853,0.1069,0.0578,1.05,"descriptive_n1_sex_confounded_depth_matched"
"Eif3j1",FALSE,"candidate_not_removed",11,2,"-",-0.0825822396556377,0.00072166771676857,1.04,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1492,-0.023,-0.095,-0.0031,-0.0864,-0.069,-7e-04,-0.0611,-0.0975,-0.0826,-0.157,"descriptive_n1_sex_confounded_depth_matched"
"Anxa1",FALSE,"candidate_not_removed",10,5,"+",0.0818289269994391,0.00642683344269076,0.06,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0064,0.0026,0.0236,0.037,0.3025,0.0224,0.3334,0.2152,0.2835,0.0538,0.1099,"descriptive_n1_sex_confounded_depth_matched"
"Mtx2",FALSE,"candidate_not_removed",11,3,"+",0.0814386634339898,0.00372311085245472,1.62,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2024,0.0617,0.0037,0.088,0.0803,0.0708,0.105,0.0814,0.0574,0.0913,0.1399,"descriptive_n1_sex_confounded_depth_matched"
"Pibf1",FALSE,"candidate_not_removed",11,4,"-",-0.0809751931881005,0.0319465412816651,0.91,FALSE,"14",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1055,-0.0424,-0.0755,-0.0715,-0.0973,-0.081,-0.1662,-0.0373,-0.1475,-0.0319,-0.2588,"descriptive_n1_sex_confounded_depth_matched"
"Ogfr",FALSE,"candidate_not_removed",11,5,"+",0.0798005239134362,0.00941207467202237,0.95,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1422,0.0094,0.1907,0.0457,0.1221,0.0794,0.3552,0.032,0.0217,0.0798,0.1458,"descriptive_n1_sex_confounded_depth_matched"
"Gphn",FALSE,"candidate_not_removed",11,3,"-",-0.0793246932265842,0.0426985391253353,1.3,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0466,-0.1594,-0.0724,-0.0915,-0.0427,-0.1142,-0.3893,-0.0815,-0.0793,-0.0571,-0.0717,"descriptive_n1_sex_confounded_depth_matched"
"Rsrc2",FALSE,"candidate_not_removed",11,4,"-",-0.0771282226975905,0.0400011833632671,0.95,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0544,-0.0918,-0.04,-0.138,-0.063,-0.0771,-0.1359,-0.0531,-0.0649,-0.1336,-0.135,"descriptive_n1_sex_confounded_depth_matched"
"Kcnip1",FALSE,"candidate_not_removed",11,2,"-",-0.0768499199247137,0.00111790181343008,0.94,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0578,-0.0873,-0.0716,-0.0768,-0.0752,-0.1134,-0.133,-0.0011,-0.0886,-0.0543,-0.0857,"descriptive_n1_sex_confounded_depth_matched"
"Acin1",FALSE,"candidate_not_removed",11,3,"-",-0.0767561305498621,0.0172505565907934,0.79,FALSE,"14",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0456,-0.0768,-0.0173,-0.0918,-0.0356,-0.1218,-0.0775,-0.0762,-0.14,-0.1694,-0.0572,"descriptive_n1_sex_confounded_depth_matched"
"Eif4ebp1",FALSE,"candidate_not_removed",11,5,"+",0.0764379758764414,0.0126676160695971,1.99,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.2859,0.0186,0.0351,0.0127,0.1224,0.0535,0.1294,0.0181,0.0764,0.1116,0.2895,"descriptive_n1_sex_confounded_depth_matched"
"Gde1",FALSE,"candidate_not_removed",11,2,"+",0.0760799985044268,0.0286278617930341,0.63,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0761,0.0286,0.061,0.042,0.0962,0.05,0.2121,0.1744,0.0889,0.0833,0.0745,"descriptive_n1_sex_confounded_depth_matched"
"Pnkd",FALSE,"candidate_not_removed",11,2,"-",-0.0724571060706327,0.00429048446194447,4.73,TRUE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0929,-0.1672,-0.017,-0.2564,-0.0275,-0.0043,-0.0088,-0.0725,-0.0778,-0.0782,-0.0113,"descriptive_n1_sex_confounded_depth_matched"
"St13",FALSE,"candidate_not_removed",11,3,"-",-0.0724386131738424,0.020469647749453,0.65,FALSE,"15",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0724,-0.0223,-0.0343,-0.0205,-0.122,-0.042,-0.1484,-0.0456,-0.0745,-0.2463,-0.0727,"descriptive_n1_sex_confounded_depth_matched"
"Paics",FALSE,"candidate_not_removed",11,4,"+",0.0723680254444065,0.00893645426475753,1.64,FALSE,"5",FALSE,"other",FALSE,TRUE,FALSE,FALSE,0.2286,0.0089,0.0767,0.0554,0.1407,0.063,0.0724,0.0092,0.144,0.0154,0.3103,"descriptive_n1_sex_confounded_depth_matched"
"Kansl1",FALSE,"candidate_not_removed",11,2,"-",-0.0723262322935441,0.00655423099469976,0.65,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0066,-0.0872,-0.0524,-0.0459,-0.0723,-0.0807,-0.2615,-0.1088,-0.0082,-0.0738,-0.0608,"descriptive_n1_sex_confounded_depth_matched"
"Knop1",FALSE,"candidate_not_removed",11,2,"-",-0.0719386532218275,0.00263244617823949,0.29,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.028,-0.0204,-0.1158,-0.0866,-0.1127,-0.0613,-0.0026,-0.0719,-0.084,-0.0885,-0.0308,"descriptive_n1_sex_confounded_depth_matched"
"Ash1l",FALSE,"candidate_not_removed",11,5,"-",-0.0718469141175502,0.00475633640885059,0.34,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0048,-0.068,-0.0625,-0.1062,-0.0172,-0.1235,-0.1164,-0.183,-0.0409,-0.1261,-0.0718,"descriptive_n1_sex_confounded_depth_matched"
"Gm44511",FALSE,"candidate_not_removed",11,3,"-",-0.0715451865359393,0.0184053512427318,0.47,FALSE,NA,FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0602,-0.0184,-0.0944,-0.0712,-0.0528,-0.193,-0.2432,-0.1564,-0.0715,-0.0829,-0.0654,"descriptive_n1_sex_confounded_depth_matched"
"Lamp1",FALSE,"candidate_not_removed",11,3,"+",0.0713561789504779,0.0162503322490093,0.54,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0659,0.0174,0.0163,0.0958,0.077,0.1566,0.065,0.4694,0.0714,0.062,0.1515,"descriptive_n1_sex_confounded_depth_matched"
"Tor1a",FALSE,"candidate_not_removed",11,3,"+",0.0713037924121357,0.0198711215211588,0.43,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0493,0.0199,0.0812,0.0683,0.0713,0.0357,0.1289,0.1561,0.0905,0.1253,0.0444,"descriptive_n1_sex_confounded_depth_matched"
"Manbal",FALSE,"candidate_not_removed",11,2,"+",0.0707668841533475,0.0289700079245088,0.68,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0708,0.0339,0.046,0.0773,0.0788,0.0677,0.0981,0.2701,0.0649,0.029,0.1514,"descriptive_n1_sex_confounded_depth_matched"
"Birc6",FALSE,"candidate_not_removed",11,2,"-",-0.070392080432619,0.0112590105677438,0.68,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0246,-0.0714,-0.044,-0.0806,-0.0136,-0.0677,-0.2149,-0.0704,-0.074,-0.0113,-0.1638,"descriptive_n1_sex_confounded_depth_matched"
"Cyth2",FALSE,"candidate_not_removed",11,2,"+",0.0701041820723137,0.0544730901900132,1.01,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.084,0.0581,0.0545,0.0696,0.0701,0.0626,0.0975,0.1326,0.1202,0.0866,0.0572,"descriptive_n1_sex_confounded_depth_matched"
"Gm6563",FALSE,"candidate_not_removed",11,2,"-",-0.0699236907382293,0.0121265770074618,0.88,FALSE,"19",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.1015,-0.0216,-0.0342,-0.0121,-0.0988,-0.0699,-0.06,-0.1415,-0.0964,-0.0632,-0.0699,"descriptive_n1_sex_confounded_depth_matched"
"Emc7",FALSE,"candidate_not_removed",11,4,"+",0.0687815891358288,0.000653284582441238,0.72,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0988,7e-04,0.1139,0.0688,0.1628,0.0168,0.1443,0.0618,0.1484,0.0645,0.0521,"descriptive_n1_sex_confounded_depth_matched"
"Ccdc114",FALSE,"candidate_not_removed",11,4,"-",-0.0672218152321849,0.00455787669146451,1.82,FALSE,NA,FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.1899,-0.0549,-0.1835,-0.0672,-0.1459,-0.0729,-0.0231,-0.0046,-0.1616,-0.0047,-0.0121,"descriptive_n1_sex_confounded_depth_matched"
"Akirin1",FALSE,"candidate_not_removed",11,2,"+",0.0672054589304576,0.0151161441637676,1.63,FALSE,"4",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0915,0.0867,0.1046,0.0548,0.0672,0.0757,0.0502,0.2153,0.0541,0.0151,0.0459,"descriptive_n1_sex_confounded_depth_matched"
"Capza2",FALSE,"candidate_not_removed",11,3,"+",0.0670401166562047,0.000404492974861226,0.94,FALSE,"6",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1254,4e-04,0.0645,0.067,0.0918,0.0491,0.0925,0.262,0.0323,0.0204,0.14,"descriptive_n1_sex_confounded_depth_matched"
"Rps6-ps4",FALSE,"candidate_not_removed",11,4,"+",0.0667260153942732,0.00056512871093628,0.78,FALSE,"2",FALSE,"ribo",FALSE,FALSE,FALSE,FALSE,0.0271,0.0766,0.0667,0.1849,0.0624,0.1743,6e-04,0.1131,0.06,0.1178,0.0401,"descriptive_n1_sex_confounded_depth_matched"
"Gm12466",FALSE,"candidate_not_removed",11,4,"-",-0.0665783781497254,0.00985698047100658,0.51,FALSE,"4",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,-0.0655,-0.0315,-0.1026,-0.0666,-0.1069,-0.1112,-0.0509,-0.0945,-0.1691,-0.0099,-0.0129,"descriptive_n1_sex_confounded_depth_matched"
"Stat3",FALSE,"candidate_not_removed",11,4,"-",-0.0663153851017241,0.000913960003245062,1.39,FALSE,"11",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0447,-0.1397,-9e-04,-0.0294,-0.1515,-0.0179,-0.0696,-0.0663,-0.0165,-0.1209,-0.1828,"descriptive_n1_sex_confounded_depth_matched"
"Dnajb11",FALSE,"candidate_not_removed",11,1,"+",0.0658451251360648,0.0169992996379068,0.96,FALSE,"16",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0669,0.06,0.0895,0.0971,0.0824,0.0552,0.017,0.1298,0.0429,0.0492,0.0658,"descriptive_n1_sex_confounded_depth_matched"
"Btbd7",FALSE,"candidate_not_removed",11,4,"-",-0.0658274966576221,0.0155842212466269,0.31,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0156,-0.0453,-0.0189,-0.0658,-0.0573,-0.1101,-0.123,-0.1326,-0.0352,-0.0984,-0.1315,"descriptive_n1_sex_confounded_depth_matched"
"Clns1a",FALSE,"candidate_not_removed",11,4,"+",0.0655081278987247,0.022109742792246,0.57,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0655,0.0221,0.1049,0.0526,0.0596,0.0517,0.1122,0.0765,0.0399,0.1075,0.1176,"descriptive_n1_sex_confounded_depth_matched"
"Fam133b",FALSE,"candidate_not_removed",11,2,"-",-0.0652792518658593,0.00362314562720062,0.59,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0653,-0.0144,-0.1078,-0.0131,-0.0922,-0.0062,-0.0676,-0.0596,-0.1169,-0.0036,-0.0898,"descriptive_n1_sex_confounded_depth_matched"
"Tead2",FALSE,"candidate_not_removed",9,1,"+",0.0645408187005652,0.010408870563415,2.02,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0645,0.0799,0.0249,0.094,0.0265,0.0876,-0.0188,-0.0034,0.0104,0.1808,0.0358,"descriptive_n1_sex_confounded_depth_matched"
"Sf3b4",FALSE,"candidate_not_removed",11,1,"+",0.0641416635828193,0.0100150387292487,0.46,FALSE,"3",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0641,0.01,0.0951,0.0451,0.0802,0.0954,0.0834,0.0506,0.0442,0.0618,0.1081,"descriptive_n1_sex_confounded_depth_matched"
"Srrm2",FALSE,"candidate_not_removed",11,2,"-",-0.0625021013698032,0.00964166315787007,0.62,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0639,-0.0137,-0.032,-0.0652,-0.0838,-0.0096,-0.2532,-0.0313,-0.0625,-0.0337,-0.3183,"descriptive_n1_sex_confounded_depth_matched"
"Ppp2r1a",FALSE,"candidate_not_removed",11,5,"+",0.0621547598089485,0.014373848332251,1.43,FALSE,"17",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1385,0.0386,0.1001,0.1176,0.1235,0.1702,0.0144,0.0238,0.0622,0.0607,0.0458,"descriptive_n1_sex_confounded_depth_matched"
"Tmem128",FALSE,"candidate_not_removed",11,2,"+",0.0613775389114435,0.00614261172130008,0.31,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0419,0.0061,0.1337,0.0309,0.0786,0.0418,0.0958,0.0528,0.0614,0.1352,0.0967,"descriptive_n1_sex_confounded_depth_matched"
"Eif5b",FALSE,"candidate_not_removed",11,3,"-",-0.0608658584192182,0.00943252791814841,0.64,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0609,-0.0584,-0.0979,-0.1256,-0.1027,-0.0929,-0.0338,-0.1346,-0.0094,-0.0209,-0.054,"descriptive_n1_sex_confounded_depth_matched"
"Ptpn1",FALSE,"candidate_not_removed",11,1,"+",0.0599072675724726,0.0298427361878214,0.77,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0623,0.0298,0.0413,0.0539,0.0599,0.1339,0.0817,0.0534,0.0826,0.0721,0.0442,"descriptive_n1_sex_confounded_depth_matched"
"Sh3pxd2a",FALSE,"candidate_not_removed",11,2,"-",-0.0596574332565729,0.00487180763566042,0.81,FALSE,"19",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0239,-0.0724,-0.0167,-0.0597,-0.0492,-0.1021,-0.0969,-0.0049,-0.0874,-0.1019,-0.054,"descriptive_n1_sex_confounded_depth_matched"
"Dnajb6",FALSE,"candidate_not_removed",11,3,"+",0.0594736347466447,0.00112701019363048,0.61,FALSE,"5",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.067,0.0056,0.0724,0.0576,0.0335,0.0212,0.1014,0.2012,0.0011,0.0595,0.1052,"descriptive_n1_sex_confounded_depth_matched"
"Tmem176a",FALSE,"candidate_not_removed",11,2,"+",0.0592991736086629,0.0184345626142939,0.65,FALSE,"6",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0593,0.0344,0.0292,0.0502,0.0278,0.1279,0.0715,0.0184,0.073,0.1619,0.0789,"descriptive_n1_sex_confounded_depth_matched"
"Stbd1",FALSE,"candidate_not_removed",8,2,"+",0.0592114384350227,0.0123466402245872,2.93,FALSE,"5",FALSE,"other",FALSE,FALSE,TRUE,FALSE,0.1177,0.2111,0.0029,0.0123,0.0321,0.0619,-0.0034,0.0078,0.0556,0.0565,0.0884,"descriptive_n1_sex_confounded_depth_matched"
"Gm21596",FALSE,"candidate_not_removed",11,3,"+",0.0582978271474338,0.00280432037194853,0.71,FALSE,"2",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.0255,0.0583,0.0206,0.0592,0.0222,0.1304,0.1316,0.1082,0.0028,0.0821,0.041,"descriptive_n1_sex_confounded_depth_matched"
"Apex1",FALSE,"candidate_not_removed",11,1,"+",0.0580221286054009,0.00945822147919578,1.1,FALSE,"14",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1176,0.0095,0.0445,0.065,0.0351,0.0796,0.0246,0.058,0.0894,0.0404,0.082,"descriptive_n1_sex_confounded_depth_matched"
"Irf2bpl",FALSE,"candidate_not_removed",11,2,"+",0.0577155277234914,0.0251890869903123,1.01,FALSE,"12",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0649,0.0512,0.0252,0.083,0.0352,0.0569,0.0577,0.0344,0.0865,0.2672,0.139,"descriptive_n1_sex_confounded_depth_matched"
"Tex261",FALSE,"candidate_not_removed",11,3,"+",0.0573732662504928,0.0110116306390321,1.06,FALSE,"6",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.1106,0.011,0.0722,0.0324,0.0479,0.0319,0.1874,0.1691,0.0574,0.0282,0.0807,"descriptive_n1_sex_confounded_depth_matched"
"Arrdc4",FALSE,"candidate_not_removed",11,3,"+",0.0572507767100913,0.00377751584846869,0.18,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0241,0.0038,0.0102,0.1756,0.0146,0.1101,0.0755,0.2888,0.0137,0.0872,0.0573,"descriptive_n1_sex_confounded_depth_matched"
"Gm7658",FALSE,"candidate_not_removed",11,0,"+",0.0571714927583379,0.0334392981443331,0.92,FALSE,"1",FALSE,"Gm",FALSE,FALSE,FALSE,FALSE,0.0639,0.0411,0.0502,0.0659,0.0572,0.0475,0.0581,0.0905,0.0334,0.0533,0.0617,"descriptive_n1_sex_confounded_depth_matched"
"Tcf25",FALSE,"candidate_not_removed",11,1,"-",-0.0569517081473088,0.0050147090829471,0.25,FALSE,"8",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0262,-0.005,-0.0623,-0.057,-0.1377,-0.0818,-0.0056,-0.02,-0.0951,-0.089,-0.0137,"descriptive_n1_sex_confounded_depth_matched"
"Upf2",FALSE,"candidate_not_removed",11,1,"-",-0.0557391638959426,0.0141395510903725,0.33,FALSE,"2",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0266,-0.0141,-0.0429,-0.0616,-0.0668,-0.0688,-0.0504,-0.14,-0.0768,-0.0557,-0.0475,"descriptive_n1_sex_confounded_depth_matched"
"Cdt1",FALSE,"candidate_not_removed",11,3,"+",0.0555948068003775,0.00338960125037785,1.22,FALSE,"8",FALSE,"other",TRUE,FALSE,FALSE,FALSE,0.0489,0.0872,0.0034,0.0556,0.0385,0.0793,0.1463,0.1281,0.0121,0.0403,0.1186,"descriptive_n1_sex_confounded_depth_matched"
"Ikzf5",FALSE,"candidate_not_removed",11,2,"-",-0.0552551450610121,0.0268643008318578,0.83,FALSE,"7",FALSE,"other",FALSE,FALSE,FALSE,FALSE,-0.0566,-0.0348,-0.0553,-0.0672,-0.0907,-0.0489,-0.1222,-0.0494,-0.1295,-0.0445,-0.0269,"descriptive_n1_sex_confounded_depth_matched"
"Maip1",FALSE,"candidate_not_removed",11,1,"+",0.0545734568640248,0.0103543216919956,0.91,FALSE,"1",FALSE,"other",FALSE,FALSE,FALSE,FALSE,0.0885,0.0104,0.0563,0.0594,0.0483,0.0428,0.0546,0.1341,0.0413,0.0428,0.0932,"descriptive_n1_sex_confounded_depth_matched"
